field7,Apr_1_Dead,Apr_15_Dead,Apr_15_Diff,Apr_Daily_Avg
California,89012,89666,654,43
Arizona,29268,29823,555,37
Georgia,37057,37523,466,31
Tennessee,25647,26105,458,30
Nevada,10091,10501,410,27
Florida,73282,73689,407,27
Texas,87426,87809,383,25
Virginia,19714,20022,308,20
Oregon,7147,7443,296,19
Kentucky,14965,15251,286,19
Oklahoma,15520,15736,216,14
Alabama,19294,19502,208,13
Pennsylvania,44295,44474,179,11
Michigan,35706,35857,151,10
New Mexico,7279,7410,131,8
New York,67983,68114,131,8
North Carolina,23215,23334,119,7
Illinois,35827,35943,116,7
Washington,12510,12619,109,7
South Carolina,17591,17698,107,7
Kansas,8395,8501,106,7
Ohio,38166,38266,100,6
Arkansas,11237,11336,99,6
New Jersey,33238,33334,96,6
Indiana,23431,23509,78,5
Maine,2202,2276,74,4
Minnesota,12640,12714,74,4
Wisconsin,14317,14390,73,4
Massachusetts,20115,20176,61,4
Louisiana,17138,17194,56,3
Maryland,14347,14398,51,3
Delaware,2846,2894,48,3
Colorado,11977,12023,46,3
Idaho,4876,4913,37,2
Connecticut,10779,10813,34,2
Iowa,9445,9475,30,2
Nebraska,4162,4191,29,1
Missouri,20166,20192,26,1
North Dakota,2232,2257,25,1
Mississippi,12399,12422,23,1
Utah,4714,4736,22,1
South Dakota,2883,2898,15,1
American Samoa,4,18,14,0
Puerto Rico,4170,4184,14,0
New Hampshire,2452,2464,12,0
Hawaii,1379,1390,11,0
Montana,3249,3260,11,0
Wyoming,1791,1801,10,0
Alaska,1228,1235,7,0
Vermont,617,623,6,0
Guam,349,354,5,0
Rhode Island,3522,3527,5,0
Northern Mariana Islands,33,34,1,0
Diamond Princess,0,0,0,0
District of Columbia,1333,1333,0,0
Grand Princess,3,3,0,0
Province_State,4.0,4.0,0.0,0.0
Virgin Islands,111,111,0,0
West Virginia,6835,6794,-41,-2
