field6,field7,total_792,Mar_11_Dead
Washington,Florida,71860,179
Yuba,California,87219,177
Zavala,Texas,86298,164
Worth,Georgia,36193,78
Wexford,Michigan,35188,63
York,Pennsylvania,43808,63
York,Virginia,19212,63
Wilson,Tennessee,24853,55
Yates,New York,67643,49
Yancey,North Carolina,22922,48
Winston,Alabama,18832,46
Woodford,Illinois,35508,46
Wright,Missouri,19546,45
York,South Carolina,17372,45
Woodward,Oklahoma,15053,43
Yuma,Arizona,28090,41
Whitley,Indiana,23164,41
Worcester,Massachusetts,23751,35
Yakima,Washington,12183,32
Yell,Arkansas,10864,31
Warren,New Jersey,33087,30
Wood,Wisconsin,13713,30
Woodford,Kentucky,14097,29
Winn,Louisiana,16887,27
Yazoo,Mississippi,12255,26
Wyandot,Ohio,37410,24
White Pine,Nevada,9921,21
Wyoming,West Virginia,6550,20
Yellow Medicine,Minnesota,12464,19
Yamhill,Oregon,6869,18
Valencia,New Mexico,7050,15
Windham,Connecticut,10648,14
Wright,Iowa,9262,14
Worcester,Maryland,14237,13
Yuma,Colorado,11839,10
York,Maine,2142,10
Weber-Morgan,Utah,4539,10
Washington,Idaho,4819,9
Wyandotte,Kansas,8007,9
York,Nebraska,4026,7
Unassigned,Delaware,2753,5
Yellowstone,Montana,3223,5
Yauco,Puerto Rico,4148,5
Unassigned,Hawaii,1354,4
Unassigned,New Hampshire,2414,4
Ziebach,South Dakota,2853,4
Yukon-Koyukuk,Alaska,1201,2
Weston,Wyoming,1749,2
,American Samoa,39,1
,Guam,337,1
Williams,North Dakota,2223,1
Washington,Rhode Island,3421,1
Windsor,Vermont,608,1
Admin2,Province_State,3.0,0.0333333333333333
,Diamond Princess,0,0
Unassigned,District of Columbia,1319,0
,Grand Princess,3,0
,Northern Mariana Islands,30,0
,Virgin Islands,109,0
